Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge power,Display,Camera,Fingerprint scanner,Facial recognition
LG G8s ThinQ,Snapdragon 855,Octa-core 2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,64 or 128 GB,microSD up to 1 TB,6 GB,Android 9.0 "Pie",LG UX,155.3 x 76.6 x 8 mm,181g,3550 mAh,USB-C 18W  Wireless ?W,6.2" 2248x1080 OLED,Triple 12 MP + 16 MP + 12 MP (rear camera) Dual 8 MP + ToF (front camera),Rear-mounted,Yes
LG G8x ThinQ,Snapdragon 855,Octa-core 2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0 "Pie",LG UX,159.3 x 75.8 x 8.4 mm,192g,4000 mAh,USB-C 21W  Wireless 9W,6.4" 2340x1080 OLED,Dual 12 MP + 13 MP (rear camera) 32 MP (front camera),Under screen,Yes
LG V50 ThinQ,Snapdragon 855,Octa-core 2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0 "Pie",LG UX,159.2 x 76.1 x 8.3 mm,183g,4000 mAh,USB-C 18W  Wireless 10W,6.4" 3120x1440 OLED,Triple 12 MP + 12 MP + 16 MP (rear camera) Dual 8 MP + 5 MP (front camera),Rear-mounted,Yes
LG Q70,Snapdragon 675,Octa-core 2.0 GHz (2x2.0 GHz Kryo 460 Gold + 6x1.7 GHz Kryo 460 Silver),Adreno 612,64 GB,microSD up to 1 TB,4 GB,Android 9.0 "Pie",LG UX,162.1 x 76.8 x 8.3 mm,198g,4000 mAh,USB-C 15W,6.4" 2310x1080 IPS LCD,Triple 32 MP + 13 MP + 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Sharp Aquos Zero,Snapdragon 845,Octa-core2.6 GHz (4x2.6 GHz Kryo 385 Gold + 4x1.7 GHz Kryo 385 Silver),Adreno 630,128 GB,No,6 GB,Android 9.0 "Pie",-,154 x 73 x 8.8 mm,146g,3130 mAh,USB-C 18W,6.2" 2992x1440 OLED,22 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Sony Xperia 1,Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,64 or 128 GB,microSD up to 1 TB,6 GB,Android 9.0 "Pie",-,167 x 72 x 8.2 mm,178g,3330 mAh,USB-C 18W,6.5" 3840x1644 OLED,Triple 12 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia 5,Snapdragon 855,Octa-core2.8 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0 "Pie",-,158 x 68 x 8.2 mm,164g,3140 mAh,USB-C 18W,6.1" 2520x1080 OLED,Triple 12 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia 10 Plus,Snapdragon 636,Octa-core1.8 GHz Kryo 260,Adreno 509,64 GB,microSD up to 1 TB,4 GB  6 GB (China only),Android 9.0 "Pie",-,167 x 73 x 8.3 mm,180g,3000 mAh,USB-C 18W,6.5" 2520x1080 IPS LCD,Dual 12 MP + 8 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia 10,Snapdragon 630,Octa-core2.2 GHz Cortex-A53,Adreno 509,64 GB,microSD up to 1 TB,3 GB  4 GB (China only),Android 9.0 "Pie",-,155.7 x 68 x 8.4 mm,162g,2870 mAh,USB-C 18W,6.0" 2520x1080 IPS LCD,Dual 13 MP + 5 MP (rear camera) 8 MP (front camera),Side-mounted,Yes
Sony Xperia L3,MediaTek Helio P22,Octa-core2.0 GHz Cortex-A53,PowerVR GE8320,32 GB,microSD up to 1 TB,3 GB,Android 8.0 "Oreo",-,154 x 72 x 8.9 mm,156g,3300 mAh,USB-C ?W,5.7" 1440x720 IPS LCD,Dual 13 MP + 2 MP (rear camera) 8 MP (front camera),Side-mounted,No
Xiaomi Black Shark 2,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.41 GHz + 4x1.78 GHz Kryo 485),Adreno 640,128 or 256 GB,No,6/8/12 GB,Android 9.0 "Pie",Blackshark UI,163.6 x 75 x 8.5 mm,205g,4000 mAh,USB-C 27W,6.4" 2340x1080 AMOLED,Dual 48 MP + 12 MP (rear camera) 20 MP (front camera),Under screen,Yes
Asus ROG Phone II,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485,Adreno 640,256 or 512 GB,No,12 GB,Android 9.0 "Pie",ROG UI,171 x 77.6 x 9.5 mm,240g,6000 mAh,USB-C 30W,6.6” 2340x1080 120 Hz AMOLED,Dual 48 MP + 13 MP (rear camera) 24 MP (front camera),Under screen,Yes
ZTE Axon 10 Pro,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.41 GHz + 4x1.78 GHz Kryo 485),Adreno 640,128/256 GB,MicroSD up to 2 TB,6/8/12 GB,Android 9.0 "Pie",MiFavor 9.1,159.2 x 73.4 x 7.9mm,175g,4000 mAh,USB-C,6.47'' 2340x1080 AMOLED,Triple 48 MP + 20 MP + 8 MP (rear camera) 20 MP (front camera),Under screen,Yes
ZTE Axon 10 Pro 5G,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.41 GHz + 4x1.78 GHz Kryo 485),Adreno 640,128/256 GB,MicroSD up to 2 TB,6/12 GB,Android 9.0 "Pie",MiFavor 9.1,159.2 x 73.4 x 7.9mm,175g,4000 mAh,USB-C,6.47'' 2340x1080 AMOLED,Triple 48 MP + 20 MP + 8 MP (rear camera) 20 MP (front camera),Under screen,Yes
ZTE Nubia Red Magic 3,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.41 GHz + 4x1.78 GHz Kryo 485),Adreno 640,64/128/256 GB,No,6/8/12 GB,Android 9.0 "Pie",Redmagic 2.0,171.7 x 78.5 x 9.7 mm,215g,5000 mAh,USB-C 27W,6.7" 2340x1080 90 Hz AMOLED,48 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
ZTE Nubia Red Magic 3S,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485,Adreno 640,128 GB,No,8 GB,Android 9.0 "Pie",Redmagic 2.0,171.7 x 78.5 x 9.7 mm,215g,5000 mAh,USB-C 27W,6.7" 2340x1080 90 Hz AMOLED,48 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
ZTE Nubia Z20,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 or 512 GB,No,6/8 GB,Android 9.0 "Pie",Nubia UI 7,158.6 x 75.2 x 9.2 mm,186g,4000 mAh,USB-C 27W,6.4" 2340x1080 AMOLED + 5.1" 2340x1080 AMOLED,Triple 48 MP + 16 MP + 8 MP,Dual side-mounted,Yes
Lenovo Z6 Pro,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128/256/512 GB,microSD up to 512 GB,6/8/12 GB,Android 9.0 "Pie",ZUI 11,157.5 x 74.6 x 8.7 mm,185g,4000 mAh,USB-C 18W,6.4" 2340x1080 AMOLED,Quad 48 MP + 16 MP + 8 MP + 2 MP + ToF (rear camera) 32 MP (front camera),Under-screen,Yes
Lenovo Z6,Snapdragon 730,Octa-core2.2 GHz (2x2.2 GHz Kryo 470 Gold + 6x1.8 GHz Kryo 470 Silver),Adreno 618,64 or 128 GB,microSD up to 512 GB,6/8 GB,Android 9.0 "Pie",ZUI 11,157 x 74.5 x 8 mm,159g,4000 mAh,USB-C 15W,6.4" 2340x1080 AMOLED,Triple 24 MP + 8 MP + 5 MP (rear camera) 16 MP (front camera),Under-screen,Yes
Google Pixel 3a,Snapdragon 670,Octa-core2 GHz (2x2.0 GHz Kryo 360 Gold + 6x1.7 GHz Kryo 360 Silver),Adreno 615,64 GB,No,4 GB,Android 9.0 "Pie",-,151.3 x 70.1 x 8.2 mm,147g,3000 mAh,USB-C 18W,5.6" 2220x1080 OLED,12 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Google Pixel 3a XL,Snapdragon 670,Octa-core2 GHz (2x2.0 GHz Kryo 360 Gold + 6x1.7 GHz Kryo 360 Silver),Adreno 615,64 GB,No,4 GB,Android 9.0 "Pie",-,160.1 x 76.1 x 8.2 mm,167g,3700 mAh,USB-C 18W,6.0" 2160x1080 OLED,12 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Google Pixel 4,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,64 or 128 GB,No,6 GB,Android 10,-,147.1 x 68.8 x 8.2 mm,162g,2800 mAh,USB-C 18W,5.7" 2280x1080 90 Hz OLED,Dual 12 MP + 16 MP (rear camera) 8 MP (front camera),No,Yes IR
Google Pixel 4 XL,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,64 or 128 GB,No,6 GB,Android 10,-,160.4 x 75.1 x 8.2 mm,193g,3700 mAh,USB-C 18W,6.3" 3040x1440 90 Hz OLED,Dual 12 MP + 16 MP (rear camera) 8 MP (front camera),No,Yes IR
OnePlus 7,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,No,6/8 GB,Android 9.0 "Pie",OxygenOS 9.5.4,157.7 x 74.8 x 8.2 mm,182g,3700 mAh,USB-C 20W,6.4" 2340x1080 AMOLED,Dual 48 MP + 5 MP (rear) 16 MP (front),Under screen,Yes
OnePlus 7 Pro,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,No,6/8/12 GB,Android 9.0 "Pie",OxygenOS 9.5.7,162.6 x 75.9 x 8.8 mm,206g,4000 mAh,USB-C 30W,6.7" 3120x1440 90 Hz AMOLED,Triple 48 MP + 16 MP + 8 MP (rear) 16 MP (front),Under screen,Yes
OnePlus 7T,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 or 256 GB,No,8 GB,Android 10,Oxygen OS 10,160.9 x 74.4 x 8.1 mm,190g,3800 mAh,USB-C 30W,6.6" 2400x1080 90 Hz AMOLED,Triple 48 MP + 16 MP + 12 MP (rear) 16 MP (front),Under screen,Yes
OnePlus 7T Pro,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,256 GB,No,8 GB12 GB (McLaren Edition),Android 10,Oxygen OS 10,162.6 x 75.9 x 8.8 mm,206g,4085 mAh,USB-C 30W,6.7" 3120x1440 90 Hz AMOLED,Triple 48 MP + 16 MP + 8 MP (rear) 16 MP (front),Under screen,Yes
Asus ZenFone 6,Snapdragon 855,Octa-core2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,64/128/256 GB,microSD up to 1 TB,6/8 GB,Android 9.0 "Pie",ZenUI 6,159.1 x 75.4 x 9.2 mm,190g,5000 mAh,USB-C 18W,6.4" 2340x1080 IPS LCD,Dual 48 MP + 16 MP (rotating camera),Rear-mounted,Yes
Moto Z4,Snapdragon 675,Octa-core2.0 GHz (2x 2.0 GHz Kryo 460 Gold + 6x 1.7 GHz Kryo 460 Silver),Adreno 612,128 GB,microSD up to 1 TB,4 GB,Android 9.0 "Pie",-,158 x 75 x 7.4 mm,165g,3600 mAh,USB-C 15W,6.4" 2340x1080 OLED,48 MP (rear) 25 MP (front),Under screen,Yes
Motorola One Vision,Exynos 9609,Octa-core2.2 GHz,Mali-G72 MP3,128 GB,microSD up to 1 TB,4 GB,Android 9.0 "Pie"  Android One,-,160.1 x 71.2 x 8.7 mm,180g,3500 mAh,USB-C 15W,6.3" 2520x1080 LTPS IPS LCD,Dual 48 MP + 5 MP (rear) 25 MP (front),Rear-mounted,Yes
Motorola One Action,Exynos 9609,Octa-core2.2 GHz,Mali-G72 MP3,128 GB,microSD up to 512 GB,4 GB,Android 9.0 "Pie"  Android One,-,160.1 x 71.2 x 8.7 mm,176g,3500 mAh,USB-C 10W,6.3" 2520x1080 LTPS IPS LCD,Triple 16 MP + 12 MP + 5 MP (rear) 12 MP (front),Rear-mounted,Yes
Motorola One Zoom,Snapdragon 675,Octa-core2.0 GHz (2x 2.0 GHz Kryo 460 Gold + 6x 1.7 GHz Kryo 460 Silver),Adreno 612,128 GB,microSD up to 1 TB,4 GB,Android 9.0 "Pie"  Android One,-,158 x 75 x 8.8 mm,190g,4000 mAh,USB-C 15W,6.4" 2340x1080 AMOLED,Quad 48 MP + 16 MP + 8 MP + 5 MP (rear) 25 MP (front),Under screen,Yes
Moto G7 Play,Snapdragon 632,Octa-core (4x 1.8 GHz Kryo 250 Gold + 4x 1.8 GHz Kryo 250 Silver),Adreno 506,32 GB,microSD up to 1 TB,2 GB,Android 9.0 "Pie",-,147.3 x 71.5 x 8 mm,149g,3000 mAh,USB-C 10W,5.7" 1512x720 IPS LCD,13 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G7 Power,Snapdragon 632,Octa-core (4x 1.8 GHz Kryo 250 Gold + 4x 1.8 GHz Kryo 250 Silver),Adreno 506,32 or 64 GB,microSD up to 1 TB,3/4 GB,Android 9.0 "Pie",-,159.4 x 76 x 9.3 mm,193g,5000 mAh,USB-C 15W,6.2" 1570x720 IPS LCD,12 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G7,Snapdragon 632,Octa-core (4x 1.8 GHz Kryo 250 Gold + 4x 1.8 GHz Kryo 250 Silver),Adreno 506,64 GB,microSD up to 1 TB,4 GB,Android 9.0 "Pie",-,157 x 75.3 x 8 mm,172g,3000 mAh,USB-C 15W,6.2" 2270x1080 LTPS IPS LCD,Dual 12 MP + 5 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G7 Plus,Snapdragon 636,Octa-core (4x 1.8 GHz Kryo 260 Gold + 4x 1.6 GHz Kryo 260 Silver),Adreno 509,64 GB,microSD up to 1 TB,4 GB,Android 9.0 "Pie",-,157 x 75.3 x 8.3 mm,176g,3000 mAh,USB-C 27W,6.2" 2270x1080 LTPS IPS LCD,Dual 16 MP + 5 MP (rear camera) 12 MP (front camera),Rear-mounted,Yes
Moto G8 Play,MediaTek Helio P70M,Octa-core (4x 2.1 GHz Cortex-A73 + 4x 2.0 GHz Cortex-A53),Mali-G72 MP3,32 GB,microSD up to 512 GB,3 GB,Android 9.0 "Pie",-,157.6 x 75.4 x 9 mm,183g,4000 mAh,microUSB 2.0,6.2" 1520x720 IPS LCD,Triple 13 MP + 8 MP + 2 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Moto G8 Plus,Snapdragon 665,Octa-core (4x 2.0 GHz Kryo 260 Gold + 4x 1.8 GHz Kryo 260 Silver),Adreno 610,64 GB,microSD up to 512 GB,4 GB,Android 9.0 "Pie",-,158.4 x 75.8 x 9.1 mm,188g,4000 mAh,USB-C 18W,6.3" 2280x1080 LTPS IPS LCD,Triple 48 MP + 16 MP + 5 MP (rear camera) 25 MP (front camera),Rear-mounted,Yes
Vivo NEX 3,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 GB,No,8 GB,Android 9.0 "Pie",Funtouch 9.1,167.4 x 76.1 x 9.4 mm,217g,4500 mAh,USB-C 44W,6.9" 2256x1080 AMOLED,Triple 64 MP + 2x 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo NEX 3 5G,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,256 GB,No,8/12 GB,Android 9.0 "Pie",Funtouch 9.1,167.4 x 76.1 x 9.4 mm,219g,4500 mAh,USB-C 44W,6.9" 2256x1080 AMOLED,Triple 64 MP + 2x 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo S5,Snapdragon 712,Octa-core2x2.3 GHz Kryo 360 Gold +6x1.7 GHz Kryo 360 Silver,Adreno 616,128/256 GB,No,8 GB,Android 9.0 "Pie",Funtouch 9,157.9 x 73.9 x 8.64 mm,188g,4100 mAh,USB-C 22.5W,6.44''2400x1080 AMOLED,Quad 48 MP + 8 MP + 2 MP + 5 MP (rear) 32 MP (front),Under screen,Yes
Vivo iQOO,Snapdragon 855,Octa-core2.8 GHz (1x 2.84 GHz + 3x 2.41 GHz + 4x 1.78 GHz Kryo 485),Adreno 640,128 or 256 GB,No,6/8/12 GB,Android 9.0 "Pie",Funtouch 9,157.7 x 75.2 x 8.5 mm,196g,4000 mAh,USB-C 22.5 or 44W MAX,6.4" 2340x1080 AMOLED,Triple 12 MP + 13 MP + 2 MP (rear camera) 12 MP (front camera),Under screen,Yes
Vivo iQOO Neo,Snapdragon 845,Octa-core CPU4x2.8 GHz Kryo 385 Gold + 4x1.8 GHz Kyro 385 Silver,Adreno 630,64 or 128 GB,No,6/8 GB,Android 9.0 "Pie",Funtouch 9,159.5 x 75.2 x 8.1 mm,199g,4500 mAh,USB-C 22.5W MAX,6.4" 2340x1080 AMOLED,Triple 12 MP + 8 MP + 2 MP (rear camera) 12 MP (front camera),Under screen,Yes
Vivo iQOO Neo 855,Snapdragon 855,Octa-core2.8 GHz (1x 2.84 GHz + 3x 2.41 GHz + 4x 1.78 GHz Kryo 485),Adreno 640,64/128/256 GB,No,6/8 GB,Android 9.0 "Pie",Funtouch 9,159.5 x 75.2 x 8.1 mm,199g,4500 mAh,USB-C 22.5W MAX,6.4" 2340x1080 AMOLED,Triple 12 MP + 8 MP + 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo iQOO Neo 855 Speed Verson,Snapdragon 855+,Octa-core2.96 GHz (1x2.96 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 GB,No,8/12 GB,Android 9.0 "Pie",Funtouch 9,159.5 x 75.2 x 8.1 mm,199g,4500 mAh,USB-C 33W MAX,6.4" 2340x1080 AMOLED,Triple 12 MP + 8 MP + 2 MP (rear camera) 16 MP (front camera),Under screen,Yes
Vivo iQOO Pro,Snapdragon 855+,Octa-core2.8 GHz (1x 2.84 GHz + 3x 2.41 GHz + 4x 1.78 GHz Kryo 485),Adreno 640,128 GB,No,8/12 GB,Android 9.0 "Pie",Funtouch 9.1,158.8 x 75.7 x 9.3 mm,215g,4500 mAh,USB-C 44W MAX,6.4" 2340x1080 AMOLED,Triple 48 MP + 13 MP + 2 MP (rear) 12 MP (front),Under screen,Yes
Vivo iQOO Pro 5G,Snapdragon 855+,Octa-core2.8 GHz (1x 2.84 GHz + 3x 2.41 GHz + 4x 1.78 GHz Kryo 485),Adreno 640,128/256 GB,No,8/12 GB,Android 9.0 "Pie",Funtouch 9.1,158.8 x 75.7 x 9.3 mm,217g,4500 mAh,USB-C 44W MAX,6.4" 2340x1080 AMOLED,Triple 48 MP + 13 MP + 2 MP (rear) 12 MP (front),Under screen,Yes

Samsung Galaxy S10 Lite,Snapdragon 855,Octa-core 2.84 GHz (1x 2.84 GHz + 3x 2.42 GHz + 4x 1.78 GHz Kryo 485),Adreno 640,128 GB,microSD up to 1 TB,6/8 GB,Android 10,One UI,162.5 x 75.6 x 8.1 mm,186g,4500 mAh,USB-C,6.7" 2400x1080 AMOLED,Triple 48 MP + 12 MP + 5 MP (rear) 32 MP (front),Optical,Yes
Samsung Galaxy Note 10 Lite,Exynos 9810,Octa-core 2.7 GHz (4x 2.7 GHz Mongoose M3 + 4x 1.7 GHz Cortex-A55),Mali-G72 MP18,128 GB,microSD up to 1 TB,6/8 GB,Android 10,One UI,163.7 x 76.1 x 8.7 mm,199g,4500 mAh,USB-C,6.7" 2400x1080 AMOLED,Triple 12 MP (rear) 32 MP (front),Optical,Yes
Samsung Galaxy Xcover Pro,Exynos 9611,Octa-core 2.3 GHz (4x 2.3 GHz Cortex-A73 + 4x 1.7 GHz Cortex-A53),Mali-G72 MP3,64 GB,microSD up to 512 GB,4 GB,Android 10,One UI,159.9 x 76.7 x 10 mm,179g,4050mAh,USB-C 15W,6.3" 2340x1080 IPS LCD,Dual 25 MP + 8 MP (rear) 13 MP (front),Side-mounted,Yes
ZTE Axon 10s Pro 5G,Snapdragon 865,Octa-core 2.84 GHz (1x 2.84 GHz + 3x 2.42 GHz + 4x 1.8 GHz Kryo 585),Adreno 650,128/256 GB,microSDXC,6/12 GB,Android 10,MiFavor 10,159.2 x 73.4 x 7.9 mm,175g,4000mAh,USB-C 18W; Wireless,6.5" 2340x1080 AMOLED,Triple 48 MP + 20 MP + 8 MP (rear) 20 MP (front),Optical,Yes
Realme X50 5G,Snapdragon 765,Octa-core (1x 2.4 GHz Kryo 475 Prime + 1x 2.2 GHz Kryo 475 Gold + 6x 1.8 GHz Kryo 475 Silver),Adreno 620,128/256 GB,No,6/8/12 GB,Android 10,ColorOS 7,163.8 x 75.8 x 8.9 mm,202g,4200 mAh,USB-C 30W,6.6" 2400x1080 120Hz IPS LCD,Quad 64 MP + 12 MP + 8 MP + 2 MP (rear) 16 MP + 8 MP (front),Side-mounted,Yes
Realme C3,MediaTek Helio G70,Octa-core 2 GHz (2x 2 GHz Cortex-A75 + 6x 1.7 GHz Cortex-A55),Mali-G52 2EEMC2,32/64 GB,microSDXC,2/3/4 GB,Android 10,Realme UI,164.4 x 75 x 9 mm,195g,5000 mAh,microUSB 2.0 10W,6.5" 1560x720 IPS LCD,Dual 12 MP + 2 MP (rear) 5 MP (front),No,Yes
Oppo F15,MediaTek Helio P70,Octa-core 2.1 GHz (4x 2.1 GHz Cortex-A73 + 4x 2.0 GHz Cortex-A53),Mali-G72 MP3,128 GB,microSDXC,8 GB,Android 9.0 "Pie",ColorOS 6.1,160.2 x 73.3 x 7.9 mm,172g,4025 mAh,USB-C 20W,6.4" 2400x1080 AMOLED,Quad 48 MP + 8 MP + 2x 2 MP (rear) 16 MP (front),Optical,Yes
Moto G Power,Snapdragon 765,Octa-core 2 GHz (4x 2 GHz Kryo 260 Gold + 4x 1.8 GHz Kryo 260 Silver),Adreno 610,64 GB,microSDXC,4 GB,Android 10,Android 10,159.9 x 75.8 x 9.6 mm,199g,5000 mAh,USB-C 18W,6.4" 2300x1080 IPS LCD,Triple 16 MP + 8 MP + 2 MP (rear) 16 MP (front),Rear-mounted,Yes
Moto G Stylus,Snapdragon 765,Octa-core 2 GHz (4x 2 GHz Kryo 260 Gold + 4x 1.8 GHz Kryo 260 Silver),Adreno 610,128 GB,microSDXC,4 GB,Android 10,Android 10,158.6 x 75.8 x 9.2 mm,192g,4000 mAh,USB-C 10W,6.4" 2300x1080 IPS LCD,Triple 48 MP + 16 MP + 2 MP (rear) 16 MP (front),Rear-mounted,Yes
